"CONSUMPTION","CONSUMPTION","DISCRETIONARY CONSUMPTION","DISCRETIONARY CONSUMPTION"
"Lag(diff Consumption)","-0.472***","-0.084***","-0.404***","-0.013"
"Std. Error","0.022","0.027","0.022","0.023"
"Lag(diff Consumption) (+ve values)","0.175***","0.053","0.096***","0.024"
"Std. Error","0.04","0.036","0.037","0.035"
"",NA,NA,NA,NA
"Include controls for RoT?","No","No","Yes","Yes"
"Include controls for 'Keeping Up'?","No","No","Yes","Yes"
"",NA,NA,NA,NA
"R-squared","0.44","0.72","0.44","0.72"
"Number households","423","423","423","423"
"Number time periods (used)","20","20","20","20"
"Total used observations","8883","8883","8883","8883"
"Durbin-Watson (DW) Statistic","2.08","1.96","2.06","1.93"
"Baltagi-Wu LBI statistic","2.16","2.05","2.17","2.05"
"Barghava et al Durbin Watson Statistic","2.08","1.96","2.06","1.93"
