"CONSUMPTION","CONSUMPTION","DISCRETIONARY CONSUMPTION","DISCRETIONARY CONSUMPTION","FLEXIBLE CONSUMPTION","FLEXIBLE CONSUMPTION"
"Lag(diff Consumption)","-0.499***","-0.035","-0.428***","0.009","-0.599***","-0.065**"
"Std. Error","0.024","0.03","0.022","0.023","0.022","0.027"
"Lag(diff Consumption) (+ve values)","0.171***","0.081**","0.099***","0.055","0.388***","0.141***"
"Std. Error","0.04","0.038","0.038","0.037","0.037","0.038"
"",NA,NA,NA,NA,NA,NA
"Include controls for RoT?","No","Yes","No","Yes","No","Yes"
"Include controls for 'Keeping Up'?","No","Yes","No","Yes","No","Yes"
"",NA,NA,NA,NA,NA,NA
"R-squared","0.43","0.72","0.43","0.72","0.44","0.71"
"Number households","421","421","421","421","421","421"
"Number time periods (used)","21","21","21","21","21","21"
"Total used observations","8841","8841","8841","8841","8841","8841"
"Durbin-Watson (DW) Statistic","2.08","2.01","2.09","1.96","2.08","1.93"
"Baltagi-Wu LBI statistic","2.15","2.1","2.19","2.08","2.17","2.04"
"Barghava et al Durbin Watson Statistic","2.08","2.01","2.09","1.96","2.08","1.93"
