"CONSUMPTION","CONSUMPTION","DISCRETIONARY CONSUMPTION","DISCRETIONARY CONSUMPTION"
"difference from Mean Parish Consumption)","0.025**","0.012","0.028***","-0.021*"
"Std. Error","0.011","0.008","0.011","0.011"
"difference from Mean Parish Consumption) (+ve values)","1.167***","0.823***","0***","0***"
"Std. Error","0.027","0.029","0","0"
"",NA,NA,NA,NA
"Include controls for RoT?","No","No","Yes","Yes"
"Include controls for Habits?","No","No","Yes","Yes"
"",NA,NA,NA,NA
"R-squared","0.39","0.56","0.18","0.43"
"Number households","423","423","423","423"
"Number time periods (used)","20","20","20","20"
"Total used observations","8460","8460","8460","8460"
"Baltagi-Wu LBI statistic","2.33","2.33","2.65","2.24"
"Barghava et al Durbin Watson Statistic","2.2","2.2","2.52","2.11"
