"CONSUMPTION","CONSUMPTION","DISCRETIONARY CONSUMPTION","DISCRETIONARY CONSUMPTION"
"difference from Mean Parish Consumption)","0.651***","0.52***","0.83***","0.205***"
"Std. Error","0.031","0.035","0.017","0.066"
"difference from Mean Parish Consumption) (+ve values)","0.148***","0.146***","-0.068***","0.177*"
"Std. Error","0.046","0.051","0.021","0.106"
"",NA,NA,NA,NA
"Include controls for RoT?","No","No","Yes","Yes"
"Include controls for Habits?","No","No","Yes","Yes"
"",NA,NA,NA,NA
"R-squared","0.57","0.72","0.6","0.62"
"Number households","421","421","422","422"
"Number time periods (used)","20","20","20","20"
"Total used observations","8841","8841","8862","8862"
"Durbin-Watson (DW) Statistic","2","1.97","1.98","2.03"
"Baltagi-Wu LBI statistic","2.07","2.06","2.08","2.14"
"Barghava et al Durbin Watson Statistic","2","1.97","1.98","2.03"
