"CONSUMPTION","CONSUMPTION","DISCRETIONARY CONSUMPTION","DISCRETIONARY CONSUMPTION","FLEXIBLE CONSUMPTION","FLEXIBLE CONSUMPTION"
"difference from Mean Parish Consumption)","0.692***","0.537***","0.863***","0.811***","0.851***","0.783***"
"Std. Error","0.033","0.038","0.017","0.02","0.018","0.02"
"difference from Mean Parish Consumption) (+ve values)","0.146***","0.204***","-0.058***","-0.032","-0.016","0.006"
"Std. Error","0.048","0.053","0.021","0.034","0.022","0.035"
"",NA,NA,NA,NA,NA,NA
"Include controls for RoT?","No","Yes","No","Yes","No","Yes"
"Include controls for Habits?","No","Yes","No","Yes","No","Yes"
"",NA,NA,NA,NA,NA,NA
"R-squared","0.56","0.71","0.59","0.72","0.59","0.71"
"Number households","421","421","421","421","421","421"
"Number time periods (used)","21","21","21","21","21","21"
"Total used observations","8841","8841","8841","8841","8841","8841"
"Durbin-Watson (DW) Statistic","2","2.01","2","1.97","1.98","1.96"
"Baltagi-Wu LBI statistic","2.08","2.1","2.09","2.08","2.08","2.06"
"Barghava et al Durbin Watson Statistic","2","2.01","2","1.97","1.98","1.96"
