"CONSUMPTION","CONSUMPTION","DISCRETIONARY CONSUMPTION","DISCRETIONARY CONSUMPTION"
"difference from Mean Parish Consumption)","0.692***","0.537***","0.863***","0.207***"
"Std. Error","0.033","0.038","0.017","0.071"
"difference from Mean Parish Consumption) (+ve values)","0.146***","0.204***","-0.058***","0.208*"
"Std. Error","0.048","0.053","0.021","0.109"
"",NA,NA,NA,NA
"Include controls for RoT?","No","No","Yes","Yes"
"Include controls for Habits?","No","No","Yes","Yes"
"",NA,NA,NA,NA
"R-squared","0.56","0.71","0.59","0.6"
"Number households","421","421","421","421"
"Number time periods (used)","20","20","20","20"
"Total used observations","8841","8841","8841","8841"
"Durbin-Watson (DW) Statistic","2","2.01","2","2.1"
"Baltagi-Wu LBI statistic","2.08","2.1","2.09","2.2"
"Barghava et al Durbin Watson Statistic","2","2.01","2","2.1"
