"CONSUMPTION","CONSUMPTION","DISCRETIONARY CONSUMPTION","DISCRETIONARY CONSUMPTION"
"diff Exp. Income","0.022**","0.026*","0.013","-0.045**"
"Std. Error","0.009","0.014","0.013","0.018"
"diff Exp. Income (+ve values)","0.598***","0.397***","0.571***","0.401***"
"Std. Error","0.057","0.049","0.087","0.089"
"diff Unexpected Income","0.429***","0.244***","0.323***","0.23***"
"Std. Error","0.03","0.028","0.047","0.045"
"diff Unexpected Income (+ve values)","-0.003","0.134***","-0.007","0.015"
"Std. Error","0.046","0.046","0.08","0.079"
"",NA,NA,NA,NA
"Include controls for Habits?","No","No","Yes","Yes"
"Include controls for 'Keeping Up'?","No","No","Yes","Yes"
"",NA,NA,NA,NA
"R-squared","0.34","0.62","0.25","0.52"
"Number households","423","423","423","423"
"Number time periods (used)","20","20","20","20"
"Total used observations","8460","8460","8460","8460"
"Baltagi-Wu LBI statistic","2.64","2.13","2.7","2.7"
"Barghava et al Durbin Watson Statistic","2.53","2.01","2.58","2.58"
