"CONSUMPTION","CONSUMPTION","DISCRETIONARY CONSUMPTION","DISCRETIONARY CONSUMPTION"
"diff Exp. Income","0.216***","0.125***","0.128*","0.116"
"Std. Error","0.063","0.046","0.078","0.079"
"diff Exp. Income (+ve values)","0.203**","0.212***","0.362***","0.257**"
"Std. Error","0.102","0.075","0.131","0.126"
"diff Unexpected Income","0.272***","0.202***","0.314***","0.125**"
"Std. Error","0.047","0.037","0.062","0.054"
"diff Unexpected Income (+ve values)","0.185**","0.116*","0.067","0.169*"
"Std. Error","0.077","0.062","0.097","0.096"
"",NA,NA,NA,NA
"Include controls for Habits?","No","No","Yes","Yes"
"Include controls for 'Keeping Up'?","No","No","Yes","Yes"
"",NA,NA,NA,NA
"R-squared","0.75","0.77","0.46","0.77"
"Number households","423","423","423","423"
"Number time periods (used)","21","21","21","21"
"Total used observations","8037","8883","8883","1.97"
"Durbin-Watson (DW) Statistic","2.33","1.97","2.43",NA
"Baltagi-Wu LBI statistic","2.4","2.08","2.54","2.1"
"Barghava et al Durbin Watson Statistic","2.33","1.97","2.43","1.97"
