"CONSUMPTION","CONSUMPTION","DISCRETIONARY CONSUMPTION","DISCRETIONARY CONSUMPTION","FLEXIBLE CONSUMPTION","FLEXIBLE CONSUMPTION"
"diff Exp. Income","0.402***","0.203***","0.247***","0.142*","0.371***","0.179**"
"Std. Error","0.061","0.048","0.08","0.084","0.073","0.072"
"diff Exp. Income (+ve values)","0.021","0.098","0.102","0.148","0.014","0.129"
"Std. Error","0.098","0.083","0.13","0.142","0.119","0.119"
"diff Unexpected Income","0.329***","0.209***","0.291***","0.214***","0.339***","0.257***"
"Std. Error","0.052","0.037","0.059","0.064","0.056","0.056"
"diff Unexpected Income (+ve values)","0.051","0.128*","0.04","0.048","0.058","-0.003"
"Std. Error","0.077","0.067","0.1","0.113","0.09","0.1"
"",NA,NA,NA,NA,NA,NA
"Include controls for Habits?","No","Yes","No","Yes","No","Yes"
"Include controls for 'Keeping Up'?","No","Yes","No","Yes","No","Yes"
"",NA,NA,NA,NA,NA,NA
"R-squared","0.75","0.77","0.44","0.71","0.44","0.77"
"Number households","421","421","421","421","421","421"
"Number time periods (used)","19","21","21","21","21","21"
"Total used observations","7999","8841","8841","8841","8841","8841"
"Durbin-Watson (DW) Statistic","2.32","1.95","2.42","2.03","2.48","1.94"
"Baltagi-Wu LBI statistic","2.4","2.04","2.53","2.14","2.58","2.05"
"Barghava et al Durbin Watson Statistic","2.32","1.95","2.42","2.03","2.48","1.94"
