"CONSUMPTION","CONSUMPTION","DISCRETIONARY CONSUMPTION","DISCRETIONARY CONSUMPTION","FLEXIBLE CONSUMPTION","FLEXIBLE CONSUMPTION"
"diff Exp. Income","0.211***","0.167**","0.243**","0.04","0.18*","0.126"
"Std. Error","0.067","0.076","0.112","0.12","0.104","0.107"
"diff Exp. Income (+ve values)","0.272**","0.12","0.141","0.385*","0.361**","0.261"
"Std. Error","0.112","0.124","0.186","0.213","0.175","0.175"
"diff Unexpected Income","0.369***","0.202***","0.317***","0.2***","0.354***","0.181***"
"Std. Error","0.033","0.032","0.053","0.056","0.048","0.049"
"diff Unexpected Income (+ve values)","0.029","0.17***","0.038","0.061","0.072","0.151*"
"Std. Error","0.052","0.053","0.082","0.093","0.075","0.082"
"",NA,NA,NA,NA,NA,NA
"Include controls for Habits?","No","Yes","No","Yes","No","Yes"
"Include controls for 'Keeping Up'?","No","Yes","No","Yes","No","Yes"
"",NA,NA,NA,NA,NA,NA
"R-squared","0.52","0.77","0.43","0.71","0.45","0.77"
"Number households","421","421","421","421","421","421"
"Number time periods (used)","21","21","21","21","21","21"
"Total used observations","8841","8841","8841","8841","8841","8841"
"Durbin-Watson (DW) Statistic","2.38","1.97","2.44","2.05","2.47","1.93"
"Baltagi-Wu LBI statistic","2.47","2.07","2.55","2.17","2.58","2.06"
"Barghava et al Durbin Watson Statistic","2.38","1.97","2.44","2.05","2.47","1.93"
