"CONSUMPTION","CONSUMPTION","DISCRETIONARY CONSUMPTION","DISCRETIONARY CONSUMPTION"
"diff Exp. Income","0.264***","0.167**","0.243**","0.042"
"Std. Error","0.086","0.076","0.112","0.106"
"diff Exp. Income (+ve values)","0.228*","0.12","0.141","0.411**"
"Std. Error","0.132","0.124","0.186","0.206"
"diff Unexpected Income","0.335***","0.202***","0.317***","0.181***"
"Std. Error","0.052","0.032","0.053","0.051"
"diff Unexpected Income (+ve values)","0.062","0.17***","0.038","0.062"
"Std. Error","0.061","0.053","0.082","0.087"
"",NA,NA,NA,NA
"Include controls for Habits?","No","No","Yes","Yes"
"Include controls for 'Keeping Up'?","No","No","Yes","Yes"
"",NA,NA,NA,NA
"R-squared","0.83","0.77","0.43","0.77"
"Number households","421","421","421","421"
"Number time periods (used)","21","21","21","21"
"Total used observations","7999","8841","8841","1.93"
"Durbin-Watson (DW) Statistic","2.28","1.97","2.44",NA
"Baltagi-Wu LBI statistic","2.34","2.07","2.55","2.06"
"Barghava et al Durbin Watson Statistic","2.28","1.97","2.44","1.93"
