"CONSUMPTION","CONSUMPTION","DISCRETIONARY CONSUMPTION","DISCRETIONARY CONSUMPTION","FLEXIBLE CONSUMPTION","FLEXIBLE CONSUMPTION"
"diff Exp. Income","0.221***","0.135**","0.092","0.089","0.151*","0.16*"
"Std. Error","0.072","0.057","0.099","0.103","0.09","0.087"
"diff Exp. Income (+ve values)","0.22*","0.133","0.34**","0.188","0.278*","0.041"
"Std. Error","0.114","0.094","0.163","0.177","0.144","0.143"
"diff Unexpected Income","0.336***","0.195***","0.277***","0.193***","0.354***","0.253***"
"Std. Error","0.047","0.036","0.055","0.06","0.054","0.054"
"diff Unexpected Income (+ve values)","0.04","0.177***","0.094","0.086","0.048","-0.029"
"Std. Error","0.067","0.061","0.09","0.102","0.086","0.095"
"",NA,NA,NA,NA,NA,NA
"Include controls for Habits?","No","Yes","No","Yes","No","Yes"
"Include controls for 'Keeping Up'?","No","Yes","No","Yes","No","Yes"
"",NA,NA,NA,NA,NA,NA
"R-squared","0.77","0.77","0.45","0.72","0.45","0.77"
"Number households","421","421","421","421","421","421"
"Number time periods (used)","19","21","21","21","21","21"
"Total used observations","7999","8841","8841","8841","8841","8841"
"Durbin-Watson (DW) Statistic","2.4","1.97","2.45","2.06","2.5","1.94"
"Baltagi-Wu LBI statistic","2.46","2.07","2.56","2.18","2.61","2.06"
"Barghava et al Durbin Watson Statistic","2.4","1.97","2.45","2.06","2.5","1.94"
