"Income","Expected Income","Unexpected Income"
"Intercept","-0.338*** (0.024)","-0.325*** (0.021)","0.019*** (0.012)"
"L1(dep. var.)","-0.577*** (0.011)","-0.566*** (0.016)","-0.629*** (0.008)"
"L2(dep. var.)","-0.381*** (0.01)","-0.47*** (0.011)","-0.388*** (0.007)"
"L3(dep. var.)","-0.212*** (0.009)","-0.246*** (0.01)","-0.209*** (0.008)"
"P1(dep. var.)","-0.455*** (0.007)","-0.419*** (0.011)","-0.481*** (0.004)"
"",NA,NA,NA
"R-squared","0.581302759486702","0.624002372196701","0.601701697085319"
"# households","421","421","421"
"Time periods used","19","17","17"
"Total # observations","7999","7157","7157"
"DW statistic","1.27","1.37","1.22"
"Barghava et al Durbin Watson Statistic","1.27","1.37","1.22"
"Baltagi-Wu LBI statistic","1.35","1.48","1.31"
